                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0528,                  2.031,                  1.765,                0.67729,                0.10069,                0.08269,                0.02309,                 3.2418,                 24.251,                 4.0121,               0.070033,              0.0033297,              0.0033297
                      1,                  1.883,                 1.6476,                 1.6368,                0.52546,                0.19376,                0.15656,                0.06381,                 2.4519,                 3.4023,                 1.9145,               0.040011,              0.0066411,              0.0066411
                      2,                 1.8529,                 1.5687,                 1.6152,                0.75858,                 0.3091,                0.51489,                0.25435,                 1.8305,                 5.0379,                 1.6524,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.8186,                 1.5106,                 1.5923,                0.61425,                0.41684,                0.45098,                0.19488,                 2.1707,                 1.5698,                 1.7694,               0.009901,               0.009901,               0.009901
                      4,                 1.8048,                  1.486,                 1.5796,                0.14176,                0.42521,                0.07348,                0.03467,                 2.3507,                 10.804,                 2.0898,               0.009901,               0.009901,               0.009901
                      5,                 1.7914,                 1.4717,                 1.5705,                0.61768,                0.51288,                0.58127,                0.26808,                  1.835,                 1.8377,                 1.6113,               0.009868,               0.009868,               0.009868
                      6,                 1.7834,                 1.4697,                 1.5723,                0.76768,                0.61598,                0.70499,                0.36893,                  1.752,                 1.3309,                 1.5256,               0.009835,               0.009835,               0.009835
                      7,                 1.7705,                 1.4571,                 1.5634,                0.70431,                0.65826,                0.73421,                 0.3582,                 1.7076,                 1.2946,                 1.4962,               0.009802,               0.009802,               0.009802
                      8,                 1.7766,                 1.4521,                 1.5603,                0.75027,                0.63609,                0.69676,                0.35995,                 1.6542,                 1.2282,                 1.4729,               0.009769,               0.009769,               0.009769
                      9,                 1.7667,                 1.4371,                 1.5571,                0.69926,                0.62804,                0.72829,                0.37418,                 1.6604,                 1.4763,                 1.4632,               0.009736,               0.009736,               0.009736
                     10,                 1.7662,                 1.4302,                 1.5518,                0.73665,                0.62486,                0.72893,                0.36108,                 1.8233,                 1.3877,                 1.5451,               0.009703,               0.009703,               0.009703
                     11,                 1.7655,                 1.4392,                 1.5553,                 0.4147,                0.73851,                0.39416,                0.19445,                  1.677,                 41.499,                 1.4807,                0.00967,                0.00967,                0.00967
                     12,                 1.7688,                 1.4352,                 1.5542,                0.78012,                0.61325,                0.69732,                 0.3071,                 1.9516,                 1.2819,                 1.6376,               0.009637,               0.009637,               0.009637
                     13,                 1.7537,                 1.4169,                 1.5456,                0.66147,                0.65326,                0.73167,                0.38382,                 1.6051,                 1.2808,                 1.4354,               0.009604,               0.009604,               0.009604
                     14,                  1.764,                 1.4245,                 1.5553,                0.74055,                0.59225,                0.68453,                0.32428,                 1.8563,                 1.3653,                 1.5595,               0.009571,               0.009571,               0.009571
                     15,                 1.7516,                 1.4275,                 1.5481,                0.79993,                0.70789,                0.78329,                0.39489,                 1.7013,                 1.2082,                 1.4786,               0.009538,               0.009538,               0.009538
                     16,                 1.7509,                 1.4089,                 1.5454,                 0.8099,                0.69887,                0.77179,                0.37641,                 1.7418,                 1.1295,                 1.4905,               0.009505,               0.009505,               0.009505
                     17,                 1.7433,                  1.413,                 1.5492,                0.81766,                0.71131,                0.81049,                0.41779,                 1.6603,                 1.0638,                 1.4501,               0.009472,               0.009472,               0.009472
                     18,                 1.7464,                 1.4133,                 1.5481,                 0.8191,                0.70119,                0.78421,                0.38726,                 1.8113,                 1.0966,                 1.5242,               0.009439,               0.009439,               0.009439
                     19,                 1.7805,                 1.5687,                 1.5618,                 0.6889,                0.65089,                0.75822,                0.37776,                 1.7152,                 1.2545,                 1.4867,               0.009406,               0.009406,               0.009406
                     20,                  1.762,                 1.4317,                 1.5594,                0.82743,                0.71227,                0.79429,                0.42447,                 1.5933,                 1.0573,                 1.3979,               0.009373,               0.009373,               0.009373
                     21,                 1.7533,                 1.4122,                 1.5441,                0.78043,                 0.7199,                0.81439,                0.42085,                 1.6301,                 1.4045,                 1.4271,                0.00934,                0.00934,                0.00934
                     22,                 1.7499,                 1.4109,                 1.5415,                0.77901,                0.67502,                0.78184,                0.36662,                 1.7733,                 1.1131,                 1.5041,               0.009307,               0.009307,               0.009307
                     23,                 1.7663,                 1.4277,                 1.5634,                0.81738,                0.69166,                0.78539,                0.38812,                 1.7731,                 1.0918,                 1.4924,               0.009274,               0.009274,               0.009274
                     24,                 1.7531,                 1.4151,                 1.5504,                0.82291,                0.69369,                0.79934,                0.41907,                 1.6742,                 1.0831,                 1.4433,               0.009241,               0.009241,               0.009241
                     25,                  1.732,                   1.39,                 1.5279,                0.82999,                0.71123,                0.80134,                 0.4051,                 1.7007,                  1.063,                 1.4517,               0.009208,               0.009208,               0.009208
                     26,                 1.7364,                 1.3952,                  1.538,                0.83768,                0.72081,                0.81341,                0.41011,                 1.6823,                 1.0081,                 1.4468,               0.009175,               0.009175,               0.009175
                     27,                 1.7399,                 1.3992,                 1.5386,                0.81985,                0.70578,                0.78562,                0.36577,                 1.8366,                 1.0737,                 1.5312,               0.009142,               0.009142,               0.009142
                     28,                 1.7437,                  1.402,                 1.5388,                0.81954,                0.70163,                0.79444,                0.39141,                 1.7609,                 1.0555,                 1.4866,               0.009109,               0.009109,               0.009109
                     29,                 1.7414,                 1.3977,                 1.5444,                0.82613,                0.71719,                0.80914,                0.38859,                 1.7774,                 1.0441,                  1.499,               0.009076,               0.009076,               0.009076
                     30,                 1.7377,                 1.3939,                 1.5392,                0.82463,                0.72101,                0.80474,                0.40977,                 1.7136,                 1.0184,                 1.4546,               0.009043,               0.009043,               0.009043
                     31,                 1.7375,                 1.3948,                 1.5421,                0.82916,                0.73618,                0.81238,                0.40512,                 1.7168,                 1.0179,                 1.4536,                0.00901,                0.00901,                0.00901
                     32,                 1.7396,                 1.3959,                 1.5403,                0.82883,                0.72289,                0.80448,                0.38966,                 1.7926,                 1.0249,                 1.5001,               0.008977,               0.008977,               0.008977
                     33,                 1.7373,                 1.3888,                 1.5462,                0.78407,                0.67388,                0.75942,                0.25738,                 2.1056,                 1.2745,                 1.6445,               0.008944,               0.008944,               0.008944
                     34,                 1.7323,                 1.3863,                 1.5316,                0.76383,                0.69018,                0.76095,                0.27365,                 2.0596,                 1.2607,                 1.6255,               0.008911,               0.008911,               0.008911
                     35,                 1.7312,                 1.3837,                 1.5359,                0.55104,                0.61332,                0.55123,                0.17944,                 2.3278,                 1.5397,                  1.723,               0.008878,               0.008878,               0.008878
                     36,                 1.7328,                 1.3876,                 1.5298,                0.52547,                0.55799,                0.49857,                0.14857,                 2.4902,                 1.5726,                 1.8111,               0.008845,               0.008845,               0.008845
                     37,                 1.7359,                 1.3876,                 1.5372,                0.52498,                 0.5378,                 0.4884,                0.14848,                 2.5227,                 1.6093,                 1.8415,               0.008812,               0.008812,               0.008812
                     38,                 1.7293,                 1.3962,                 1.5392,                0.52574,                 0.4634,                0.43985,                0.12342,                   2.64,                 1.8112,                 1.9257,               0.008779,               0.008779,               0.008779
                     39,                 1.7407,                 1.3907,                 1.5373,                0.49406,                0.47582,                0.43072,                0.12274,                  2.617,                 1.8543,                 1.9213,               0.008746,               0.008746,               0.008746
                     40,                 1.7291,                 1.3823,                 1.5299,                0.48918,                0.42296,                0.38892,                0.10575,                 2.7046,                 1.9038,                 2.0092,               0.008713,               0.008713,               0.008713
                     41,                  1.739,                 1.3819,                 1.5388,                0.41781,                0.33412,                0.29875,                0.07877,                 2.8506,                 2.1082,                 2.1463,                0.00868,                0.00868,                0.00868
                     42,                 1.7217,                 1.3681,                 1.5204,                0.40172,                0.34209,                0.28962,                0.07533,                 2.8904,                 2.1171,                 2.1519,               0.008647,               0.008647,               0.008647
                     43,                 1.7246,                 1.3641,                 1.5246,                0.41873,                0.34357,                0.29198,                 0.0736,                 2.9456,                 2.0609,                 2.1875,               0.008614,               0.008614,               0.008614
                     44,                  1.744,                 1.3901,                  1.544,                0.40448,                0.27807,                0.24564,                0.06033,                 3.0353,                 2.2056,                 2.2662,               0.008581,               0.008581,               0.008581
                     45,                 1.7275,                 1.3766,                  1.528,                0.37963,                0.29125,                0.24484,                0.06268,                 3.0059,                  2.165,                 2.2385,               0.008548,               0.008548,               0.008548
                     46,                 1.7164,                 1.3588,                 1.5228,                0.40021,                0.25821,                0.22932,                0.05856,                 3.0627,                 2.2546,                 2.3004,               0.008515,               0.008515,               0.008515
                     47,                 1.7199,                 1.3708,                 1.5251,                0.41125,                0.25774,                0.22807,                0.05804,                 3.0758,                 2.2492,                 2.3089,               0.008482,               0.008482,               0.008482
                     48,                 1.7235,                 1.3871,                 1.5306,                0.39882,                0.24182,                0.21098,                0.05452,                 3.0811,                 2.3145,                 2.3506,               0.008449,               0.008449,               0.008449
                     49,                 1.7296,                 1.3831,                 1.5316,                0.39066,                0.22672,                0.19908,                0.05174,                 3.1057,                 2.3824,                 2.3777,               0.008416,               0.008416,               0.008416
                     50,                 1.7336,                 1.3819,                 1.5292,                0.39508,                0.24653,                0.21423,                0.05614,                 3.0709,                 2.3264,                 2.3326,               0.008383,               0.008383,               0.008383
                     51,                 1.7212,                 1.3744,                 1.5264,                0.38806,                0.24134,                0.20336,                0.05475,                 3.0516,                 2.3217,                 2.3301,                0.00835,                0.00835,                0.00835
                     52,                 1.7157,                 1.3638,                 1.5241,                0.38282,                0.23389,                0.20018,                0.05526,                 3.0189,                 2.4104,                 2.3018,               0.008317,               0.008317,               0.008317
                     53,                 1.7197,                 1.3731,                  1.529,                 0.4011,                0.24632,                0.20901,                0.05727,                  3.006,                 2.3841,                  2.284,               0.008284,               0.008284,               0.008284
                     54,                 1.7121,                 1.3648,                 1.5243,                0.38584,                0.24254,                0.20767,                0.05671,                 3.0179,                 2.3842,                 2.3018,               0.008251,               0.008251,               0.008251
                     55,                 1.7245,                 1.3566,                  1.527,                 0.3326,                0.22207,                0.17848,                0.04977,                 3.1326,                 2.3572,                 2.2992,               0.008218,               0.008218,               0.008218
                     56,                  1.715,                 1.3611,                 1.5142,                0.34056,                 0.2272,                0.18168,                0.04984,                 3.1148,                 2.3607,                 2.2737,               0.008185,               0.008185,               0.008185
                     57,                 1.7245,                 1.3684,                 1.5227,                0.31885,                 0.2294,                0.17637,                0.05209,                 3.0851,                 2.4008,                 2.2666,               0.008152,               0.008152,               0.008152
                     58,                 1.7235,                 1.3756,                 1.5268,                0.32068,                0.22584,                0.17756,                0.05253,                 3.0831,                 2.4305,                 2.2671,               0.008119,               0.008119,               0.008119
                     59,                 1.7195,                 1.3617,                 1.5226,                0.32384,                0.22545,                0.17978,                0.05391,                  3.081,                  2.438,                  2.268,               0.008086,               0.008086,               0.008086
                     60,                 1.7146,                 1.3563,                 1.5167,                0.32239,                0.22054,                 0.1754,                 0.0528,                 3.0862,                 2.4504,                 2.2772,               0.008053,               0.008053,               0.008053
                     61,                 1.7219,                 1.3736,                 1.5232,                0.31944,                0.21703,                0.17448,                0.05266,                   3.09,                  2.458,                 2.2771,                0.00802,                0.00802,                0.00802
                     62,                 1.7215,                 1.3644,                 1.5232,                0.32548,                0.21779,                0.17453,                 0.0529,                 3.0874,                 2.4657,                 2.2721,               0.007987,               0.007987,               0.007987
                     63,                 1.7088,                 1.3507,                 1.5132,                 0.3111,                0.19425,                 0.1671,                0.05105,                 3.0712,                 2.5852,                 2.2365,               0.007954,               0.007954,               0.007954
                     64,                 1.7241,                 1.3599,                 1.5231,                0.30799,                0.19129,                0.16573,                0.05049,                 3.0712,                 2.5947,                 2.2341,               0.007921,               0.007921,               0.007921
                     65,                 1.7125,                 1.3518,                 1.5192,                0.24629,                0.16246,                0.12282,                0.03539,                 3.3657,                 2.6518,                 2.3385,               0.007888,               0.007888,               0.007888
                     66,                 1.7161,                 1.3562,                 1.5173,                0.24723,                0.16192,                0.12299,                0.03577,                  3.363,                 2.6521,                 2.3381,               0.007855,               0.007855,               0.007855
                     67,                 1.7268,                 1.3672,                 1.5261,                0.24667,                0.16042,                0.12253,                0.03564,                 3.3655,                 2.6602,                 2.3377,               0.007822,               0.007822,               0.007822
                     68,                 1.7185,                 1.3616,                 1.5235,                0.21482,                0.14435,                0.09791,                0.02896,                 3.4934,                  2.672,                 2.3393,               0.007789,               0.007789,               0.007789
                     69,                 1.7158,                 1.3497,                 1.5154,                0.17135,                0.12926,                0.06998,                0.01945,                 3.8628,                 2.7112,                 2.5301,               0.007756,               0.007756,               0.007756
                     70,                 1.7123,                 1.3514,                 1.5196,                0.16929,                0.12864,                0.06931,                0.01923,                 3.8686,                 2.7094,                 2.5332,               0.007723,               0.007723,               0.007723
