                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5059,                 1.5024,                 1.2806,                0.88575,                0.85466,                0.90544,                0.46854,                 1.5914,                0.86056,                 1.2531,               0.070033,              0.0033297,              0.0033297
                      1,                 1.4121,                 1.0072,                 1.1889,                0.90924,                0.85823,                 0.9176,                0.55982,                 1.3287,                0.75179,                 1.1343,               0.040011,              0.0066411,              0.0066411
                      2,                 1.4302,                 1.0025,                 1.1939,                0.88085,                 0.8277,                0.90688,                0.53406,                 1.3594,                0.91303,                 1.1368,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.4225,                0.97695,                 1.1922,                0.92071,                0.82662,                 0.9112,                0.52572,                 1.4488,                0.76081,                 1.1704,               0.009901,               0.009901,               0.009901
                      4,                  1.389,                0.91759,                 1.1779,                0.92631,                0.87409,                0.93692,                0.58534,                 1.2967,                0.66427,                 1.1107,               0.009901,               0.009901,               0.009901
                      5,                 1.3567,                0.86974,                 1.1628,                0.92715,                0.87541,                0.93816,                0.57653,                 1.3149,                 0.6937,                 1.1158,               0.009868,               0.009868,               0.009868
                      6,                 1.3388,                0.84199,                 1.1628,                0.92884,                0.88289,                0.94282,                0.60305,                 1.2401,                0.63245,                 1.0885,               0.009835,               0.009835,               0.009835
                      7,                 1.3202,                0.81352,                 1.1513,                0.92637,                0.88813,                0.94243,                0.60077,                   1.25,                 0.6279,                 1.0918,               0.009802,               0.009802,               0.009802
                      8,                 1.3175,                0.80003,                 1.1457,                0.93402,                0.89164,                0.94703,                0.59935,                 1.2748,                0.59957,                 1.1003,               0.009769,               0.009769,               0.009769
                      9,                 1.2984,                0.78188,                 1.1392,                0.93259,                0.89018,                0.94877,                0.61316,                 1.2176,                0.58931,                 1.0816,               0.009736,               0.009736,               0.009736
                     10,                 1.2953,                0.76973,                 1.1384,                0.92894,                0.89682,                0.94675,                0.62351,                 1.1985,                0.56791,                 1.0735,               0.009703,               0.009703,               0.009703
                     11,                 1.2816,                 0.7588,                 1.1334,                0.93479,                0.90207,                0.95379,                0.61714,                 1.2222,                 0.5681,                 1.0811,                0.00967,                0.00967,                0.00967
                     12,                 1.2763,                0.75085,                 1.1306,                0.93749,                0.89747,                0.95326,                 0.6354,                 1.1756,                0.54705,                 1.0711,               0.009637,               0.009637,               0.009637
                     13,                 1.2612,                0.72975,                 1.1232,                0.93375,                0.90677,                0.95145,                0.61589,                 1.2157,                0.56053,                 1.0773,               0.009604,               0.009604,               0.009604
                     14,                 1.2578,                0.72834,                 1.1209,                0.92878,                0.91243,                 0.9555,                0.63316,                 1.1787,                0.54196,                 1.0599,               0.009571,               0.009571,               0.009571
